CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9,CD10
CD1,0,6745,5346,4752,12288,10047,8789,10013,6720,4004
CD2,6745,0,4700,4800,11424,10540,12496,5346,11040,7686
CD3,5346,4700,0,4945,9758,8334,10115,7650,9537,5676
CD4,4752,4800,4945,0,12608,11390,11200,7308,8823,6520
CD5,12288,11424,9758,12608,0,5481,11520,12544,15632,11390
CD6,10047,10540,8334,11390,5481,0,8262,12832,11856,8334
CD7,8789,12496,10115,11200,11520,8262,0,16320,7578,7125
CD8,10013,5346,7650,7308,12544,12832,16320,0,14752,11390
CD9,6720,11040,9537,8823,15632,11856,7578,14752,0,6540
CD10,4004,7686,5676,6520,11390,8334,7125,11390,6540,0
