,0,1,2,3,4,5,6,7,8,9
0,0.0,188.0,451.0,264.0,252.0,264.0,264.0,192.0,198.0,324.0
1,188.0,0.0,322.0,192.0,256.0,132.0,132.0,66.0,66.0,260.0
2,451.0,322.0,0.0,330.0,462.0,396.0,198.0,254.0,462.0,198.0
3,264.0,192.0,330.0,0.0,330.0,264.0,330.0,330.0,198.0,255.0
4,252.0,256.0,462.0,330.0,0.0,264.0,330.0,264.0,327.0,255.0
5,264.0,132.0,396.0,264.0,264.0,0.0,660.0,330.0,132.0,132.0
6,264.0,132.0,198.0,330.0,330.0,660.0,0.0,384.0,132.0,132.0
7,192.0,66.0,254.0,330.0,264.0,330.0,384.0,0.0,55.0,132.0
8,198.0,66.0,462.0,198.0,327.0,132.0,132.0,55.0,0.0,63.0
9,324.0,260.0,198.0,255.0,255.0,132.0,132.0,132.0,63.0,0.0
