, 0
0, 3
1, 0
2, 2
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 2
10, 5
11, 0
12, 3
13, 3
14, 2
15, 1
16, 1
17, 2
18, 7
19, 3
20, 1
21, 0
22, 0
23, 1
24, 0
25, 0
26, 0
27, 2
28, 7
29, 6
30, 0
31, 0
32, 0
33, 0
34, 0
35, 3
36, 4
37, 4
38, 6
39, 5
40, 0
41, 0
42, 1
43, 0
44, 0
45, 5
46, 1
47, 5
48, 5
49, 3
50, 0
51, 0
52, 0
53, 0
54, 4
55, 0
56, 1
57, 6
58, 5
59, 9
60, 5
61, 0
62, 0
63, 0
64, 14
65, 0
66, 0
67, 0
68, 4
69, 1
70, 0
71, 0
72, 3
73, 0
74, 7
75, 2
76, 5
77, 2
78, 2
79, 0
80, 0
81, 5
82, 2
83, 2
84, 0
85, 4
86, 1
87, 2
88, 2
89, 1
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 156
100, 32
101, 0
102, 0
103, 0
104, 0
105, 0
106, 0
107, 0
108, 0
109, 451
110, 0
111, 0
112, 0
113, 0
114, 0
115, 0
116, 0
117, 0
118, 0
119, 156
120, 0
121, 0
122, 138
123, 0
124, 0
125, 0
126, 0
127, 0
128, 0
129, 247
130, 5
131, 0
132, 0
133, 0
134, 0
135, 0
136, 0
137, 0
138, 0
139, 313
140, 0
141, 0
142, 0
143, 0
144, 0
145, 0
146, 0
147, 0
148, 0
149, 298
150, 0
151, 0
152, 0
153, 0
154, 0
155, 0
156, 0
157, 0
158, 0
159, 0
160, 192
161, 0
162, 0
163, 0
164, 0
165, 0
166, 0
167, 0
168, 0
169, 221
170, 0
171, 0
172, 0
173, 0
174, 0
175, 0
176, 0
177, 0
178, 0
179, 319
180, 5
181, 0
182, 0
183, 0
184, 0
185, 0
186, 0
187, 0
188, 0
189, 156
190, 32
191, 0
192, 0
193, 0
194, 0
195, 0
196, 0
197, 0
198, 0
199, 0
200, 0
201, 0
202, 0
203, 0
204, 0
205, 0
206, 0
207, 0
208, 0
209, 0
210, 315
211, 0
212, 0
213, 0
214, 7
215, 0
216, 0
217, 0
218, 0
219, 117
220, 75
221, 0
222, 0
223, 0
224, 0
225, 0
226, 0
227, 0
228, 0
229, 49
230, 0
231, 0
232, 207
233, 0
234, 0
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 183
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 22
254, 149
255, 0
256, 0
257, 0
258, 0
259, 21
260, 0
261, 0
262, 0
263, 0
264, 0
265, 78
266, 0
267, 0
268, 0
269, 0
270, 0
271, 0
272, 12
273, 0
274, 0
275, 0
276, 66
277, 0
278, 0
279, 92
280, 0
281, 0
282, 0
283, 0
284, 0
285, 0
286, 12
287, 156
288, 451
289, 0
290, 0
291, 0
292, 0
293, 0
294, 0
295, 0
296, 0
297, 0
298, 0
299, 0
300, 315
301, 0
302, 0
303, 0
304, 7
305, 0
306, 0
307, 0
308, 0
309, 0
310, 0
311, 0
312, 0
313, 0
314, 0
315, 0
316, 0
317, 0
318, 0
319, 342
320, 0
321, 0
322, 0
323, 0
324, 0
325, 0
326, 0
327, 0
328, 0
329, 468
330, 1
331, 0
332, 0
333, 0
334, 0
335, 0
336, 0
337, 8
338, 0
339, 390
340, 0
341, 0
342, 0
343, 0
344, 0
345, 0
346, 0
347, 9
348, 0
349, 78
350, 77
351, 0
352, 0
353, 51
354, 0
355, 0
356, 0
357, 0
358, 234
359, 0
360, 0
361, 0
362, 0
363, 20
364, 0
365, 0
366, 0
367, 7
368, 0
369, 498
370, 0
371, 0
372, 0
373, 0
374, 0
375, 0
376, 0
377, 71
378, 0
379, 156
380, 0
381, 0
382, 0
383, 0
384, 0
385, 0
386, 0
387, 156
388, 0
389, 0
390, 138
391, 0
392, 0
393, 0
394, 0
395, 0
396, 0
397, 0
398, 117
399, 75
400, 0
401, 0
402, 0
403, 0
404, 0
405, 0
406, 0
407, 0
408, 0
409, 342
410, 0
411, 0
412, 0
413, 0
414, 0
415, 0
416, 0
417, 0
418, 0
419, 3
420, 0
421, 0
422, 0
423, 0
424, 0
425, 0
426, 0
427, 20
428, 0
429, 314
430, 0
431, 0
432, 0
433, 0
434, 0
435, 0
436, 0
437, 0
438, 0
439, 300
440, 0
441, 0
442, 0
443, 0
444, 0
445, 0
446, 0
447, 0
448, 0
449, 374
450, 0
451, 0
452, 0
453, 0
454, 0
455, 0
456, 0
457, 354
458, 0
459, 0
460, 0
461, 0
462, 0
463, 0
464, 0
465, 0
466, 0
467, 0
468, 48
469, 156
470, 0
471, 0
472, 0
473, 0
474, 0
475, 0
476, 0
477, 21
478, 0
479, 0
480, 0
481, 0
482, 0
483, 0
484, 0
485, 234
486, 252
487, 0
488, 0
489, 0
490, 0
491, 0
492, 0
493, 0
494, 0
495, 0
496, 0
497, 49
498, 0
499, 0
500, 207
501, 0
502, 0
503, 0
504, 0
505, 0
506, 0
507, 0
508, 468
509, 1
510, 0
511, 0
512, 0
513, 0
514, 0
515, 0
516, 0
517, 20
518, 0
519, 314
520, 0
521, 0
522, 0
523, 0
524, 0
525, 0
526, 0
527, 0
528, 0
529, 0
530, 0
531, 0
532, 0
533, 0
534, 0
535, 58
536, 15
537, 0
538, 72
539, 162
540, 0
541, 0
542, 0
543, 0
544, 0
545, 2
546, 0
547, 0
548, 3
549, 354
550, 0
551, 0
552, 15
553, 0
554, 0
555, 0
556, 228
557, 0
558, 0
559, 0
560, 0
561, 0
562, 63
563, 0
564, 0
565, 0
566, 0
567, 0
568, 0
569, 327
570, 0
571, 0
572, 0
573, 0
574, 0
575, 0
576, 0
577, 0
578, 0
579, 255
580, 0
581, 0
582, 0
583, 0
584, 0
585, 313
586, 0
587, 0
588, 0
589, 0
590, 0
591, 0
592, 0
593, 0
594, 0
595, 0
596, 0
597, 0
598, 0
599, 0
600, 183
601, 0
602, 0
603, 0
604, 0
605, 7
606, 0
607, 390
608, 1
609, 0
610, 0
611, 0
612, 0
613, 0
614, 0
615, 0
616, 0
617, 0
618, 300
619, 0
620, 0
621, 0
622, 0
623, 0
624, 0
625, 61
626, 0
627, 0
628, 75
629, 171
630, 0
631, 0
632, 0
633, 0
634, 0
635, 0
636, 0
637, 0
638, 0
639, 0
640, 0
641, 0
642, 0
643, 0
644, 3
645, 0
646, 0
647, 14
648, 0
649, 680
650, 0
651, 0
652, 0
653, 0
654, 0
655, 56
656, 0
657, 0
658, 0
659, 284
660, 0
661, 0
662, 0
663, 0
664, 6
665, 0
666, 0
667, 0
668, 13
669, 131
670, 0
671, 0
672, 0
673, 0
674, 0
675, 22
676, 0
677, 0
678, 50
679, 78
680, 0
681, 0
682, 0
683, 0
684, 298
685, 0
686, 0
687, 0
688, 0
689, 0
690, 0
691, 0
692, 0
693, 0
694, 0
695, 0
696, 0
697, 0
698, 0
699, 22
700, 149
701, 0
702, 0
703, 0
704, 10
705, 0
706, 78
707, 76
708, 0
709, 0
710, 51
711, 0
712, 0
713, 0
714, 0
715, 0
716, 0
717, 374
718, 0
719, 0
720, 0
721, 0
722, 0
723, 0
724, 4
725, 0
726, 0
727, 0
728, 345
729, 0
730, 0
731, 25
732, 0
733, 0
734, 0
735, 0
736, 0
737, 18
738, 0
739, 679
740, 0
741, 0
742, 0
743, 0
744, 0
745, 0
746, 0
747, 0
748, 0
749, 0
750, 0
751, 0
752, 0
753, 0
754, 0
755, 0
756, 0
757, 0
758, 1
759, 30
760, 353
761, 0
762, 0
763, 0
764, 0
765, 0
766, 0
767, 38
768, 0
769, 126
770, 0
771, 0
772, 0
773, 0
774, 0
775, 0
776, 0
777, 7
778, 0
779, 156
780, 12
781, 0
782, 0
783, 0
784, 192
785, 0
786, 0
787, 0
788, 0
789, 0
790, 0
791, 0
792, 0
793, 0
794, 21
795, 0
796, 0
797, 0
798, 0
799, 0
800, 78
801, 0
802, 0
803, 0
804, 234
805, 0
806, 0
807, 0
808, 0
809, 20
810, 0
811, 0
812, 0
813, 0
814, 354
815, 0
816, 0
817, 0
818, 0
819, 0
820, 0
821, 0
822, 0
823, 0
824, 238
825, 0
826, 0
827, 0
828, 0
829, 0
830, 53
831, 0
832, 0
833, 0
834, 53
835, 0
836, 0
837, 0
838, 287
839, 0
840, 0
841, 0
842, 0
843, 0
844, 0
845, 0
846, 0
847, 0
848, 0
849, 28
850, 356
851, 0
852, 0
853, 0
854, 0
855, 0
856, 0
857, 0
858, 0
859, 0
860, 0
861, 0
862, 0
863, 0
864, 0
865, 0
866, 0
867, 25
868, 30
869, 0
870, 0
871, 0
872, 0
873, 0
874, 0
875, 0
876, 0
877, 0
878, 0
879, 144
880, 0
881, 0
882, 221
883, 0
884, 0
885, 0
886, 0
887, 0
888, 0
889, 0
890, 0
891, 0
892, 0
893, 0
894, 0
895, 0
896, 12
897, 0
898, 0
899, 0
900, 66
901, 0
902, 7
903, 0
904, 498
905, 0
906, 0
907, 0
908, 0
909, 0
910, 0
911, 0
912, 0
913, 0
914, 48
915, 156
916, 0
917, 0
918, 0
919, 0
920, 0
921, 0
922, 0
923, 0
924, 0
925, 0
926, 327
927, 0
928, 0
929, 0
930, 0
931, 0
932, 6
933, 0
934, 0
935, 0
936, 15
937, 129
938, 0
939, 0
940, 0
941, 0
942, 0
943, 0
944, 0
945, 0
946, 36
947, 0
948, 128
949, 0
950, 0
951, 0
952, 0
953, 0
954, 0
955, 0
956, 0
957, 27
958, 28
959, 0
960, 0
961, 0
962, 0
963, 0
964, 0
965, 0
966, 0
967, 0
968, 0
969, 0
970, 0
971, 0
972, 0
973, 0
974, 0
975, 0
976, 0
977, 0
978, 0
979, 63
980, 0
981, 314
982, 10
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 92
993, 0
994, 0
995, 0
996, 0
997, 0
998, 0
999, 12
1000, 156
1001, 71
1002, 0
1003, 156
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 21
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 234
1021, 0
1022, 0
1023, 0
1024, 0
1025, 255
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 5
1032, 10
1033, 0
1034, 0
1035, 57
1036, 78
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 156
1048, 19
1049, 0
1050, 0
1051, 0
1052, 7
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 137
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 63
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
