,column_i,column_j,column_k,pax_number
0,CD1,CD1,CD1,
1,CD1,CD1,CD2,0.0
2,CD1,CD1,CD3,0.0
3,CD1,CD1,CD4,0.0
4,CD1,CD1,CD5,0.0
5,CD1,CD1,CD6,0.0
6,CD1,CD1,CD7,0.0
7,CD1,CD1,CD8,0.0
8,CD1,CD1,CD9,0.0
9,CD1,CD1,CD10,0.0
10,CD1,CD2,CD1,0.0
11,CD1,CD2,CD2,0.0
12,CD1,CD2,CD3,0.0
13,CD1,CD2,CD4,0.0
14,CD1,CD2,CD5,0.0
15,CD1,CD2,CD6,0.0
16,CD1,CD2,CD7,0.0
17,CD1,CD2,CD8,0.0
18,CD1,CD2,CD9,0.0
19,CD1,CD2,CD10,0.0
20,CD1,CD3,CD1,294.0
21,CD1,CD3,CD2,0.0
22,CD1,CD3,CD3,0.0
23,CD1,CD3,CD4,0.0
24,CD1,CD3,CD5,0.0
25,CD1,CD3,CD6,0.0
26,CD1,CD3,CD7,0.0
27,CD1,CD3,CD8,0.0
28,CD1,CD3,CD9,0.0
29,CD1,CD3,CD10,0.0
30,CD1,CD4,CD1,0.0
31,CD1,CD4,CD2,0.0
32,CD1,CD4,CD3,0.0
33,CD1,CD4,CD4,0.0
34,CD1,CD4,CD5,0.0
35,CD1,CD4,CD6,0.0
36,CD1,CD4,CD7,0.0
37,CD1,CD4,CD8,0.0
38,CD1,CD4,CD9,0.0
39,CD1,CD4,CD10,0.0
40,CD1,CD5,CD1,0.0
41,CD1,CD5,CD2,0.0
42,CD1,CD5,CD3,0.0
43,CD1,CD5,CD4,0.0
44,CD1,CD5,CD5,0.0
45,CD1,CD5,CD6,0.0
46,CD1,CD5,CD7,0.0
47,CD1,CD5,CD8,0.0
48,CD1,CD5,CD9,0.0
49,CD1,CD5,CD10,0.0
50,CD1,CD6,CD1,0.0
51,CD1,CD6,CD2,0.0
52,CD1,CD6,CD3,0.0
53,CD1,CD6,CD4,0.0
54,CD1,CD6,CD5,0.0
55,CD1,CD6,CD6,0.0
56,CD1,CD6,CD7,0.0
57,CD1,CD6,CD8,0.0
58,CD1,CD6,CD9,0.0
59,CD1,CD6,CD10,0.0
60,CD1,CD7,CD1,0.0
61,CD1,CD7,CD2,0.0
62,CD1,CD7,CD3,0.0
63,CD1,CD7,CD4,0.0
64,CD1,CD7,CD5,0.0
65,CD1,CD7,CD6,0.0
66,CD1,CD7,CD7,0.0
67,CD1,CD7,CD8,0.0
68,CD1,CD7,CD9,0.0
69,CD1,CD7,CD10,0.0
70,CD1,CD8,CD1,0.0
71,CD1,CD8,CD2,0.0
72,CD1,CD8,CD3,0.0
73,CD1,CD8,CD4,0.0
74,CD1,CD8,CD5,0.0
75,CD1,CD8,CD6,0.0
76,CD1,CD8,CD7,0.0
77,CD1,CD8,CD8,0.0
78,CD1,CD8,CD9,0.0
79,CD1,CD8,CD10,0.0
80,CD1,CD9,CD1,0.0
81,CD1,CD9,CD2,0.0
82,CD1,CD9,CD3,0.0
83,CD1,CD9,CD4,0.0
84,CD1,CD9,CD5,0.0
85,CD1,CD9,CD6,0.0
86,CD1,CD9,CD7,0.0
87,CD1,CD9,CD8,0.0
88,CD1,CD9,CD9,0.0
89,CD1,CD9,CD10,0.0
90,CD1,CD10,CD1,0.0
91,CD1,CD10,CD2,0.0
92,CD1,CD10,CD3,0.0
93,CD1,CD10,CD4,0.0
94,CD1,CD10,CD5,0.0
95,CD1,CD10,CD6,0.0
96,CD1,CD10,CD7,0.0
97,CD1,CD10,CD8,0.0
98,CD1,CD10,CD9,0.0
99,CD1,CD10,CD10,0.0
100,CD2,CD1,CD1,0.0
101,CD2,CD1,CD2,0.0
102,CD2,CD1,CD3,0.0
103,CD2,CD1,CD4,0.0
104,CD2,CD1,CD5,0.0
105,CD2,CD1,CD6,0.0
106,CD2,CD1,CD7,0.0
107,CD2,CD1,CD8,0.0
108,CD2,CD1,CD9,0.0
109,CD2,CD1,CD10,0.0
110,CD2,CD2,CD1,0.0
111,CD2,CD2,CD2,
112,CD2,CD2,CD3,0.0
113,CD2,CD2,CD4,0.0
114,CD2,CD2,CD5,0.0
115,CD2,CD2,CD6,0.0
116,CD2,CD2,CD7,0.0
117,CD2,CD2,CD8,0.0
118,CD2,CD2,CD9,0.0
119,CD2,CD2,CD10,0.0
120,CD2,CD3,CD1,0.0
121,CD2,CD3,CD2,342.0
122,CD2,CD3,CD3,0.0
123,CD2,CD3,CD4,0.0
124,CD2,CD3,CD5,0.0
125,CD2,CD3,CD6,0.0
126,CD2,CD3,CD7,0.0
127,CD2,CD3,CD8,0.0
128,CD2,CD3,CD9,0.0
129,CD2,CD3,CD10,0.0
130,CD2,CD4,CD1,0.0
131,CD2,CD4,CD2,0.0
132,CD2,CD4,CD3,0.0
133,CD2,CD4,CD4,0.0
134,CD2,CD4,CD5,0.0
135,CD2,CD4,CD6,0.0
136,CD2,CD4,CD7,0.0
137,CD2,CD4,CD8,0.0
138,CD2,CD4,CD9,0.0
139,CD2,CD4,CD10,0.0
140,CD2,CD5,CD1,0.0
141,CD2,CD5,CD2,0.0
142,CD2,CD5,CD3,0.0
143,CD2,CD5,CD4,0.0
144,CD2,CD5,CD5,0.0
145,CD2,CD5,CD6,0.0
146,CD2,CD5,CD7,0.0
147,CD2,CD5,CD8,0.0
148,CD2,CD5,CD9,0.0
149,CD2,CD5,CD10,0.0
150,CD2,CD6,CD1,0.0
151,CD2,CD6,CD2,0.0
152,CD2,CD6,CD3,0.0
153,CD2,CD6,CD4,0.0
154,CD2,CD6,CD5,0.0
155,CD2,CD6,CD6,0.0
156,CD2,CD6,CD7,0.0
157,CD2,CD6,CD8,0.0
158,CD2,CD6,CD9,0.0
159,CD2,CD6,CD10,0.0
160,CD2,CD7,CD1,0.0
161,CD2,CD7,CD2,0.0
162,CD2,CD7,CD3,0.0
163,CD2,CD7,CD4,0.0
164,CD2,CD7,CD5,0.0
165,CD2,CD7,CD6,0.0
166,CD2,CD7,CD7,0.0
167,CD2,CD7,CD8,0.0
168,CD2,CD7,CD9,0.0
169,CD2,CD7,CD10,0.0
170,CD2,CD8,CD1,0.0
171,CD2,CD8,CD2,0.0
172,CD2,CD8,CD3,0.0
173,CD2,CD8,CD4,0.0
174,CD2,CD8,CD5,0.0
175,CD2,CD8,CD6,0.0
176,CD2,CD8,CD7,0.0
177,CD2,CD8,CD8,0.0
178,CD2,CD8,CD9,0.0
179,CD2,CD8,CD10,0.0
180,CD2,CD9,CD1,0.0
181,CD2,CD9,CD2,0.0
182,CD2,CD9,CD3,0.0
183,CD2,CD9,CD4,0.0
184,CD2,CD9,CD5,0.0
185,CD2,CD9,CD6,0.0
186,CD2,CD9,CD7,0.0
187,CD2,CD9,CD8,0.0
188,CD2,CD9,CD9,0.0
189,CD2,CD9,CD10,0.0
190,CD2,CD10,CD1,0.0
191,CD2,CD10,CD2,0.0
192,CD2,CD10,CD3,0.0
193,CD2,CD10,CD4,0.0
194,CD2,CD10,CD5,0.0
195,CD2,CD10,CD6,0.0
196,CD2,CD10,CD7,0.0
197,CD2,CD10,CD8,0.0
198,CD2,CD10,CD9,0.0
199,CD2,CD10,CD10,0.0
200,CD3,CD1,CD1,294.0
201,CD3,CD1,CD2,0.0
202,CD3,CD1,CD3,0.0
203,CD3,CD1,CD4,0.0
204,CD3,CD1,CD5,0.0
205,CD3,CD1,CD6,0.0
206,CD3,CD1,CD7,0.0
207,CD3,CD1,CD8,0.0
208,CD3,CD1,CD9,0.0
209,CD3,CD1,CD10,0.0
210,CD3,CD2,CD1,0.0
211,CD3,CD2,CD2,342.0
212,CD3,CD2,CD3,0.0
213,CD3,CD2,CD4,0.0
214,CD3,CD2,CD5,0.0
215,CD3,CD2,CD6,0.0
216,CD3,CD2,CD7,0.0
217,CD3,CD2,CD8,0.0
218,CD3,CD2,CD9,0.0
219,CD3,CD2,CD10,0.0
220,CD3,CD3,CD1,0.0
221,CD3,CD3,CD2,0.0
222,CD3,CD3,CD3,
223,CD3,CD3,CD4,0.0
224,CD3,CD3,CD5,0.0
225,CD3,CD3,CD6,0.0
226,CD3,CD3,CD7,0.0
227,CD3,CD3,CD8,0.0
