gen	nevals	avg	std	min	max
0  	10    	0  	0  	0  	0  
1  	7     	0  	0  	0  	0  
2  	3     	0  	0  	0  	0  
3  	4     	0  	0  	0  	0  
4  	5     	0  	0  	0  	0  
5  	4     	0  	0  	0  	0  
6  	0     	0  	0  	0  	0  
7  	6     	0  	0  	0  	0  
8  	5     	0  	0  	0  	0  
9  	9     	0  	0  	0  	0  
10 	1     	0  	0  	0  	0  
11 	4     	0  	0  	0  	0  
12 	6     	0  	0  	0  	0  
13 	4     	0  	0  	0  	0  
14 	5     	0  	0  	0  	0  
15 	4     	0  	0  	0  	0  
16 	2     	0  	0  	0  	0  
17 	7     	0  	0  	0  	0  
18 	6     	0  	0  	0  	0  
19 	4     	0  	0  	0  	0  
20 	4     	0  	0  	0  	0  
21 	2     	0  	0  	0  	0  
22 	2     	0  	0  	0  	0  
23 	2     	0  	0  	0  	0  
24 	5     	0  	0  	0  	0  
25 	6     	0  	0  	0  	0  
26 	6     	0  	0  	0  	0  
27 	4     	0  	0  	0  	0  
28 	4     	0  	0  	0  	0  
29 	5     	0  	0  	0  	0  
30 	5     	0  	0  	0  	0  
