,origin,destination,solution_value,distances,doc,demand,revenue
0,CD1,CD1,,0,0,0.0,0
1,CD1,CD2,0.0,355,6831,451.0,49610
2,CD1,CD3,0.0,243,4849,294.0,32340
3,CD1,CD4,0.0,198,4053,252.0,27720
4,CD1,CD5,0.0,768,14477,313.0,34430
5,CD1,CD6,0.0,591,11039,298.0,32780
6,CD1,CD7,0.0,517,9807,192.0,21120
7,CD1,CD8,0.0,589,11002,221.0,24310
8,CD1,CD9,0.0,336,6484,324.0,35640
9,CD1,CD10,2.0,154,3294,188.0,20680
10,CD2,CD1,6.0,355,6831,451.0,49610
11,CD2,CD2,,0,0,0.0,0
12,CD2,CD3,2.0,188,3878,342.0,37620
13,CD2,CD4,0.0,200,4088,469.0,51590
14,CD2,CD5,0.0,672,12653,398.0,43780
15,CD2,CD6,0.0,620,11581,215.0,23650
16,CD2,CD7,0.0,781,14725,254.0,27940
17,CD2,CD8,0.0,243,4849,505.0,55550
18,CD2,CD9,0.0,690,12993,227.0,24970
19,CD2,CD10,2.0,427,8140,322.0,35420
20,CD3,CD1,4.0,243,4849,294.0,32340
21,CD3,CD2,4.0,188,3878,342.0,37620
22,CD3,CD3,,0,0,0.0,0
23,CD3,CD4,0.0,215,4351,334.0,36740
24,CD3,CD5,0.0,574,10879,300.0,33000
25,CD3,CD6,4.0,463,8798,374.0,41140
26,CD3,CD7,1.0,595,11114,354.0,38940
27,CD3,CD8,0.0,425,8103,204.0,22440
28,CD3,CD9,0.0,561,10633,255.0,28050
29,CD3,CD10,3.0,258,5083,192.0,21120
30,CD4,CD1,4.0,198,4053,252.0,27720
31,CD4,CD2,6.0,200,4088,469.0,51590
32,CD4,CD3,5.0,215,4351,334.0,36740
33,CD4,CD4,,0,0,0.0,0
34,CD4,CD5,0.0,788,14859,307.0,33770
35,CD4,CD6,0.0,670,12616,374.0,41140
36,CD4,CD7,0.0,700,13183,291.0,32010
37,CD4,CD8,3.0,406,7753,327.0,35970
38,CD4,CD9,0.0,519,9845,255.0,28050
39,CD4,CD10,4.0,326,6302,256.0,28160
40,CD5,CD1,5.0,768,14477,313.0,34430
41,CD5,CD2,5.0,672,12653,398.0,43780
42,CD5,CD3,5.0,574,10879,300.0,33000
43,CD5,CD4,4.0,788,14859,307.0,33770
44,CD5,CD5,,0,0,0.0,0
45,CD5,CD6,0.0,261,5136,697.0,76670
46,CD5,CD7,0.0,720,13562,340.0,37400
47,CD5,CD8,0.0,784,14783,150.0,16500
48,CD5,CD9,0.0,977,18376,150.0,16500
49,CD5,CD10,0.0,670,12616,183.0,20130
50,CD6,CD1,4.0,591,11039,298.0,32780
51,CD6,CD2,3.0,620,11581,215.0,23650
52,CD6,CD3,2.0,463,8798,374.0,41140
53,CD6,CD4,4.0,670,12616,374.0,41140
54,CD6,CD5,9.0,261,5136,697.0,76670
55,CD6,CD6,,0,0,0.0,0
56,CD6,CD7,0.0,459,8724,384.0,42240
57,CD6,CD8,0.0,802,15128,164.0,18040
58,CD6,CD9,0.0,741,13961,175.0,19250
59,CD6,CD10,0.0,463,8798,171.0,18810
60,CD7,CD1,1.0,517,9807,192.0,21120
61,CD7,CD2,2.0,781,14725,254.0,27940
62,CD7,CD3,0.0,595,11114,354.0,38940
63,CD7,CD4,0.0,700,13183,291.0,32010
64,CD7,CD5,4.0,720,13562,340.0,37400
65,CD7,CD6,6.0,459,8724,384.0,42240
66,CD7,CD7,,0,0,0.0,0
67,CD7,CD8,0.0,1020,19476,55.0,6050
68,CD7,CD9,0.0,421,8029,144.0,15840
69,CD7,CD10,13.0,375,5643,99.0,10890
70,CD8,CD1,3.0,589,11002,221.0,24310
71,CD8,CD2,8.0,243,4849,505.0,55550
72,CD8,CD3,2.0,425,8103,204.0,22440
73,CD8,CD4,1.0,406,7753,327.0,35970
74,CD8,CD5,2.0,784,14783,150.0,16500
75,CD8,CD6,2.0,802,15128,164.0,18040
76,CD8,CD7,0.0,1020,19476,55.0,6050
77,CD8,CD8,,0,0,0.0,0
78,CD8,CD9,0.0,922,17310,63.0,6930
79,CD8,CD10,0.0,670,12616,78.0,8580
80,CD9,CD1,5.0,336,6484,324.0,35640
81,CD9,CD2,3.0,690,12993,227.0,24970
82,CD9,CD3,3.0,561,10633,255.0,28050
83,CD9,CD4,3.0,519,9845,255.0,28050
84,CD9,CD5,2.0,977,18376,150.0,16500
85,CD9,CD6,2.0,741,13961,175.0,19250
86,CD9,CD7,1.0,421,8029,144.0,15840
87,CD9,CD8,1.0,922,17310,63.0,6930
88,CD9,CD9,,0,0,0.0,0
89,CD9,CD10,1.0,327,6320,260.0,28600
90,CD10,CD1,3.0,154,3294,188.0,20680
91,CD10,CD2,4.0,427,8140,322.0,35420
92,CD10,CD3,3.0,258,5083,192.0,21120
93,CD10,CD4,3.0,326,6302,256.0,28160
94,CD10,CD5,2.0,670,12616,183.0,20130
95,CD10,CD6,2.0,463,8798,171.0,18810
96,CD10,CD7,1.0,375,5643,99.0,10890
97,CD10,CD8,1.0,670,12616,78.0,8580
98,CD10,CD9,4.0,327,6320,260.0,28600
99,CD10,CD10,,0,0,0.0,0
